text,label
rt usrId severe weather bulletin no . DD for tropical depression #rubyph hagupit tropical cyclone alert issued httpAddress httpAddress,__label__2
rt usrId #walangpasok bulacan province classes in all levels are suspended tomorrow december 8 httpAddress #rubyph via usrId,__label__2
rt usrId 100 of accord s shelters in httpAddress bocawon and httpAddress mag aso la paz leyte survived the strong winds of #rubyph httpAddress,__label__1
rt usrId corrected the following provinces are deemed critical areas in light of #rubyph s possible httpAddress #hagupit http,__label__2
#teamyamita as typhoon hagupit hits philippines evacuees express relief fears over a httpAddress httpAddress unete a #teamyamita,__label__2
#googlenews typhoon hagupit rips through philippines ; more than one million flee ruby httpAddress httpAddress,__label__2
#rubyph expected to make landfall in dolores eastern samar in httpAddress #9newsph httpAddress,__label__2
ca tc canada ready to help philippines with typhoon impact if needed oliver httpAddress,__label__2
rt usrId please be safe guys ! prayers for all the people and places being hit by typhoon httpAddress ff #rubyph #obf #heartstrongphilippin,__label__2
rt usrId to my fellow filipinos please keep safe and be dry throughout the typhoon ! #rubyph,__label__2
rt usrId care has emergency staff in #philippines amp ; #canada able to discuss #hagupit #rubyph httpAddress #pleasert,__label__2
rt usrId typhoon #hagupit heading to #philippines httpAddress oxfam team preparing contingency stocks in case we need to respo,__label__2
let us pray for the safety of the people from tacloban and in other httpAddress #luzviminda #rubyph #staysafeph #bealert #pray,__label__2
typhoon hagupit philippines rushes aid to thousands displaced by storm abc online httpAddress #typhoon,__label__2
rt usrId the sea is starting to get rough in daanbantayan #cebu usrId #rubyph httpAddress,__label__2
rt usrId a powerful typhoon brings heavy rains and strong winds to eastern #philippines toppling trees and overturning roofs httpAddress,__label__1
usrId prayer is a powerful httpAddress let s pray that the typhoon will continue to httpAddress #rubyreminders #rubyph,__label__2
#asia typhoon slams philippines over D million flee a powerful typhoon ploughed through the central httpAddress httpAddress,__label__2
massive evacuation as typhoon nears philippines manila reuters more than half a million people in the httpAddress httpAddress,__label__2
rt usrId we are calling on individuals or groups who want to volunteer amp ; join in the preparation of food packs at d cebu httpAddress usrId,__label__2
rt usrId the #philippines braces for arrival of typhoon #hagupit expected to hit land on saturday httpAddress httpAddress,__label__2
rt usrId pagasa signal no . D declared in metro manila might be raised to signal no . D tonight as #rubyph maintains strength v,__label__2
rt usrId #rubyph now only a storm but heavy rains still expected in ncr nearby provinces httpAddress httpAddress,__label__2
signal no . D in httpAddress d keep safe everyone ! 4 #rubyph,__label__2
rt usrId typhoon #hagupit catholic relief services prepared to bring aid to #philippines has donation page httpAddress,__label__2
rt usrId public storm warning signal D zambales pampanga tarlac bulacan rest of quezon rest of mindoro including romblon #r,__label__2
rt usrId the following are currently under storm surge advisory 2 . #rubyph httpAddress,__label__2
wtf the hagupit forecast prediction is DD kph by saturday,__label__2
as of 11pm httpAddress dswd delivered 297 908 family food packs to #rubyph affected areas see details httpAddress usrId,__label__2
marstellaracal be httpAddress keep safe httpAddress pray httpAddress #prayforvisayas #rubyph,__label__2
rt usrId #rubyph destroys houses at a coastal barangay in httpAddress via usrId httpAddress,__label__1
it seems like prayers are gradually answered httpAddress #hagupit #rubyph,__label__2
tropical storm hagupit batters philippines moves closer to manila cnn httpAddress,__label__2
rt usrId about 656 00 were evacuated ahead of #typhoon #hagupit #rubyph according to philippines httpAddress,__label__2
rt usrId typhoon #hagupit forecast to hit philippines #haiyan refugees await help httpAddress httpAddress,__label__2
abscbnnews ruby moves faster ; signal no . D in manila by monday httpAddress i via usrId keep safe everyone #rubyph,__label__2
typhoon hagupit barrels toward the philippines threatens storm surges httpAddress,__label__2
rt usrId pagasa #rubyph 6pm landfall tomorrow in n . httpAddress she will be felt tomorrow in metro httpAddress she will be her stronges,__label__2
#rubyph #hagupit netrelief will also have a satellite phone as we will be making runs to check on status of remote areas after the httpAddress,__label__2
rt usrId ir #philippines head of mission on the ground with evacuated httpAddress #hagupit usrId usrId httpAddress,__label__2
#rubyph let s httpAddress be safe,__label__2
rt usrId it will be unethical to be happy on social media during the days when our fellow filipinos are experiencing calamity #rub,__label__2
good morning ! god bless phlippines ! #rubyph,__label__2
rt usrId holy name of jesus protect and save httpAddress #rubyph,__label__2
rt usrId according to pagasa typhoon #rubyph expected third landfall is on sibuyan island between 2 4 am httpAddress,__label__2
#rubyph i pray for the people who will be caused by this httpAddress amen ! mtdgct18,__label__2
rt usrId take precautionary measures in anticipation of ts hagupit #educaction httpAddress,__label__2
rt usrId god is my httpAddress he protects me and he is always there for httpAddress keep safe httpAddress #rubyph httpAddress,__label__2
rt usrId follow usrId #bepreparedph for #hagupit #rubyph updates and tips on how to be prepared and stay httpAddress httpAddress,__label__2
rt usrId just came from anticipated mass amp ; offered prayers for all our kababayans currently along the storm s path #rubyph,__label__2
rt usrId pagasa 5pm orange rainfall warning eastern httpAddress expect floods in low lying areas landslides in mountainous httpAddress #r,__label__2
rt usrId i offer our heartfelt sympathies to communities affected by typhoon #hagupit #rubyph httpAddress,__label__2
rt usrId usrId imagery now up for #typhoonhagupit which hit the httpAddress #map the damage httpAddress,__label__1
rt usrId evacuation center in tacloban being cleaned after evacuees went httpAddress #rubyph photo via usrId httpAddress,__label__2
24hr operations at work starting httpAddress blames typhoon httpAddress httpAddress,__label__2
sad at what is happening in the httpAddress to have a typhoon every httpAddress,__label__2
philippine capital braces for storm as hagupit leaves DD dead manila reuters the death toll from httpAddress httpAddress,__label__1
rt usrId keep safe and httpAddress #rubyph,__label__2
keep safe guys ! #rubyph kathniel invades dagupan c,__label__2
whattaface ! lol DD ulat panahon httpAddress so timely for httpAddress keep safe philippines ! f httpAddress,__label__2
rt usrId borongan eastern samar httpAddress roads to dolores and to guiuan cut httpAddress #rubyph via usrId,__label__1
rt usrId severe weather bulletin for typhoon #rubyph hagupit tropical cyclone warning weather bulletin number httpAddress httpAddress,__label__2
rt usrId typhoon hagupit should send shivers through halls of lima conference oxfam httpAddress,__label__2
usrId #hagupit #rubyph i hope to god you don t take another D months to restore power to everyone !,__label__2
rt usrId chickens and evacuees at an evacuation center in tacloban #rubyph httpAddress via usrId,__label__2
rt usrId #hagupit hits homes flattened by #haiyan video httpAddress httpAddress,__label__1
hagupit intensifies into a typhoon to enter par thursday httpAddress httpAddress via usrId,__label__2
rt usrId DD dead in eastern samar DD of them in borongan town usrId reports quoting red cross httpAddress #rubyph #hagupit,__label__1
rt usrId typhoon #hagupit will make landfall D times across the philippines before it s httpAddress httpAddress #rubyph httpAddress,__label__2
rt usrId ranulfo docdocan reports tacloban evacuation centers hosted nearly 41 00 people many of them from danger httpAddress #rubyph,__label__2
rt usrId our thoughts and prayers are with those in the #philippines right httpAddress stay httpAddress #hagupit,__label__2
rt usrId hagupit doh infant formula donation not allowed at evacuation centers httpAddress,__label__2
at least D dead DD evacuated in philippines due to typhoon hagupit fox news latino httpAddress,__label__2
DD minutes ago update no more electricity at san jose tacloban city #rubyph,__label__1
rt usrId typhoon hagupit heads towards httpAddress thousands httpAddress key facts and figures httpAddress httpAddress,__label__2
rt usrId to our fellow fans from other countries please pray for our country ! we need all the prayers we can get ! #rubyph http,__label__2
rt usrId lavin says aside from food evacuees also need tarps as homes in northern samar were damaged by #rubyph,__label__2
stay safe everyone ! #supertyphoon #hagupit,__label__2
rt usrId straight runner .. typhoon #hagupit now sporting large ragged filled eye on ir httpAddress,__label__2
rt usrId our thoughts are with those bracing for #typhoonhagupit . for the latest news on #hagupit and it s path httpAddress,__label__2
hundreds of thousands flee their homes in the philippines as typoon hagupit draws near httpAddress,__label__2
rt usrId typhoon #hagupit still recording windspeeds of up to httpAddress posing a significant threat to millions of people in the #,__label__2
rt usrId prayers for all my filipino followers ! #staysafeph #rubyph httpAddress,__label__2
rt usrId from usrId help us assess school damage due to httpAddress tweet us your photos using httpAddress httpAddress,__label__1
dolores eastern samar other municipalities are not expected to have electricity or communications back for another 2 3 months #hagupit,__label__1
goodvibespost super typhoon to tropical httpAddress god is always httpAddress f6 #rubyph,__label__2
hagupit unfpa more than 30 00 pregnant women need reproductive health services httpAddress,__label__2
please be httpAddress keep safe everyone ! #rubyph httpAddress,__label__2
rt usrId red rainfall advisory still up over e . visayas due to httpAddress on what these advisories mean httpAddress ht,__label__2
rt usrId globe advisory libreng tawag stations for #rubyph #hagupit #prayforvisayas read here httpAddress httpAddress,__label__2
#nbc typhoon lashes philippines sends D million fleeing philippines residents are httpAddress httpAddress #news en #anglais,__label__2
rt usrId #hagupit oxfam rapid assessment teams to survey immediate needs of evacuees httpAddress #philippines httpAddress,__label__2
typhoon hagupit death toll jumps in philippines on samar island httpAddress httpAddress #typhoon,__label__1
rt usrId doh medicines and supplies worth p243 million have been prepositioned for httpAddress httpAddress httpAddress,__label__2
usrId i m praying for you #prayforthephilippines f,__label__2
typhoon hagupit kills DD on samar island philippine daily times,__label__1
usrId power outages mar roxas lgu briefing in samar httpAddress usrId #rubyph,__label__1
coast guard 1 126 still stranded as ruby moves away from phl httpAddress na stranded ba kayo dahil sa #rubyph,__label__2
rt usrId almighty father we ask that we our loved ones and our hard earned possessions be spared from the threat of #typhoon #rubyp,__label__2
with DD total brgys affected by typhoon #rubyph we recorded some 13 794 total of families affected ; httpAddress httpAddress,__label__2
rt usrId typhoon hagupit #rubyph will be at its strongest in metro manila around httpAddress stay safe everyone ! xx jean,__label__2
rt usrId no major damage as philippines typhoon weakens httpAddress,__label__1
rt usrId please secure your pets too ! don t leave them caged httpAddress let them in ! they have the right to live too #rubyph #h,__label__2
rt usrId storm surge advisory for oras eastern httpAddress #hagupit #rubyph httpAddress,__label__2
rt usrId god bless philippines for another massive typhoon is httpAddress #prayforthephilippines,__label__2
video returning to typhoon hit homes people displaced by typhoon hagupit in the philippines have been httpAddress httpAddress,__label__2
rt usrId #worldvision amp ; usrId constructed and repaired wash facilities have helped many typhoon #rubyph evacuees in httpAddress http,__label__2
rt usrId please join us in prayer for those who are in the path of typhoon httpAddress thank httpAddress,__label__2
rt usrId #hagupit triggered one of the world s biggest peacetime evacuations 1.7 million people in 5 193 evacuation centres h,__label__2
rt usrId aquino hits alarmist media reports on typhoon #rubyph httpAddress please be httpAddress,__label__2
rt usrId advisory metro manila and calabarzon are now under signal #1 . here are latest storm signals raised due to httpAddress htt,__label__2
new storm threatens philippines the world s most disaster prone country businessweek httpAddress,__label__2
pray for httpAddress specially for httpAddress e lord we need httpAddress f #rubyph,__label__2
rt usrId time to hunker down this could get httpAddress stay safe httpAddress dost pagasa track of typhoon #rubyph httpAddress,__label__2
signal no . D is issued over camarines sur romblon leyte southern leyte capiz cebu city northern cebu dinagat httpAddress #rubyph,__label__2
rt usrId #rubyph tears down homes in disaster weary philippines httpAddress usrId #hagupit httpAddress,__label__1
rt usrId pagasa as of 5pm of december 8 #rubyph has further weakened is moving toward httpAddress httpAddress httpAddress,__label__2
rt usrId rt usrId lope de vega northern samar needs help ! #floodph #rescueph #reliefph #rubyresponse #moveph httpAddress,__label__2
rt usrId update public storm warning signals as per pagasa s DD httpAddress weather httpAddress #rubyph #hagupit httpAddress,__label__2
rt usrId pagasa 11pm bulletin typhoon ruby maintains strength amp ; is now traversing sibuyan httpAddress #rubyph httpAddress,__label__2
rt usrId infographic instructions on how to make safe drinking water httpAddress #rubyph httpAddress,__label__2
rt usrId we have made available a map of evacuation centers in #rubyph hit areas httpAddress httpAddress via,__label__2
rt usrId power just went out in calbayog httpAddress wind steady at around 20kph with gusts #rubyph #hagupit,__label__1
no strong storm can defeat the stronger filipino faith in httpAddress #rubyph #proudinc #iglesianicristo100,__label__2
rt usrId httpAddress now saying there s 75 chance typhoon hagupit will make landfall ; earlier it was just httpAddress via usrId,__label__1
600 00 flee as philippine villages brace for typhoon hagupit typhoon hagupit filipino for smash or lash was expected to httpAddress,__label__2
rt usrId according to the us typhoon tracking service typhoon hagupit #rubyph still has the probability of httpAddress httpAddress,__label__2
rt usrId as #rubyph slows down excessive rainfall is major httpAddress #manila could receive 340mm of rain in DD httpAddress usrId httpAddress,__label__2
keepsafe everyone !! stay httpAddress #rubyph,__label__2
rt usrId stay safe #rubyph,__label__2
call these institutions in case of emergencies ! #rubyph httpAddress,__label__2
rt usrId #rubyph is expected to bring rains in metro httpAddress check the areas you should avoid during rainy days in the httpAddress httpAddress,__label__2
httpAddress the enormous effort of the gov t evacuating people from unsafe zones prevented potential loss of many httpAddress #hagupit #rubyph,__label__2
fm usrId announced #australia providing DD tonnes of rice to support families hit by #rubyph #hagupit httpAddress,__label__2
rt usrId we have staff on standby to respond to #hagupit amp ; have emergency stocks ready throughout the philippines httpAddress,__label__2
#rubyph update 1am today httpAddress typhoon ruby was located at 120km southeast of catarman northern samar httpAddress httpAddress,__label__2
rt usrId important information in case of #emergency #hagupitph #rubyph httpAddress,__label__2
rt usrId prayer strongest wireless httpAddress #rubyph httpAddress,__label__2
keep safe guys !! usrId usrId usrId usrId #walangpasok #rubyph,__label__2
keep our faith alive with httpAddress #rubyph,__label__2
rt usrId praying that the lord will protect all of us from httpAddress,__label__2
rt usrId as of 2 57pm rough sea and moderate strong winds in almeria biliran httpAddress usrId #rubyph httpAddress,__label__2
rt usrId httpAddress typhoon hagupit smashes the philippines deaths recorded as interior secretary .. #typhoonhagupi,__label__1
rt usrId amen gbu all ! alphredite please include #bicol region in your httpAddress god bless us all ! #prayforthephilippines #ru,__label__2
philippines typhoon weakens at least DD dead httpAddress,__label__1
rt usrId #walangpasok breaking manila suspends classes in all levels public and private tomorrow httpAddress 8 due to httpAddress usrId,__label__1
rt usrId want to let those know in the #philippines that we are thinking of you with the #typhoon httpAddress hope that you keep safe,__label__2
foxnews more than 600 00 flee as typhoon nears philippines httpAddress just as many should flee fox after last night bitches,__label__2
rt usrId #rubyph let us all pray for the safety of httpAddress live jesus in our hearts httpAddress fa,__label__2
usrId ever wondered who s there D ppl in evac centres ? health welfare amp ; youth volunteers in action #hagupit httpAddress,__label__2
typhoon hagupit destroys homes as httpAddress winds tear acrossphilippines httpAddress,__label__1
rt breakingstorm more than half a million people flee coastal villages as typhoon hagupit sweeps across eastern philippines bbcnews ht b,__label__2
rt usrId prepare for httpAddress secure a list of emergency httpAddress via usrId httpAddress,__label__2
rt usrId expected #rubyph landfall in albay is 1pm according to local httpAddress via usrId,__label__2
rt usrId we have enough food for 375k people for three days after typhoon #hagupit #rubyph usrId,__label__2
stay httpAddress #rubyph #typhoonhagupit #philippines #tumblr httpAddress,__label__2
rt usrId have your phone on you ? text aid to DD to donate 10 toward life saving food aid in the #philippines currently facing typho,__label__2
philippine capital braces for storm as hagupit leaves DD dead source httpAddress httpAddress,__label__1
food emergency light water you can never be too httpAddress #rubyph,__label__2
rt usrId banner story un more than DD m at risk from typhoon #rubyph httpAddress httpAddress,__label__2
rt usrId more thousands are moving away from coastal areas in preparation for super typhoon #hagupit httpAddress httpAddress,__label__2
rt usrId ok here is the jtwc warning #13 graphic #hagupit #rubyph httpAddress,__label__2
stay safe httpAddress #rubyph #prayforvisayas #prayforthephilippines,__label__2
rt usrId largest peace time evacuation in #philippines history as typhoon #hagupit strikes east coast httpAddress httpAddress,__label__2
rt usrId d d d stay safe everyone ! #rubyph httpAddress,__label__2
rt usrId the power of prayers work wonders for us ! go away #hagupit !! keep praying philippines !,__label__2
rt usrId what are #stormsurges ? be httpAddress be httpAddress #rubyph httpAddress,__label__2
rt usrId our thoughts are httpAddress the people of the #philippines as they brace for httpAddress amp ; our team is on the ground to monitor t,__label__2
rt usrId preparation has been key to lessening impact of httpAddress iom helped secure roofs on #philippines bunkhouses httpAddress,__label__2
only an act of true love can thaw a frozen httpAddress watching frozen while waiting for the httpAddress #rubyph,__label__2
rt usrId #tacloban evacuees already taking shelter from #hagupit in secure buildings like churches httpAddress httpAddress,__label__2
rt usrId supertyphoon #hagupit heading towards same part of #philippines hit by httpAddress our staff and partners are ready to httpAddress,__label__2
rt usrId strong winds topple store in real httpAddress tacloban httpAddress #rubyph photo via usrId httpAddress,__label__1
usrId thank you for following ! please help me rebuild my #rubyph typhoon ravaged httpAddress httpAddress,__label__2
rt usrId prayer is the best weapon we httpAddress httpAddress #rubyph #prayforvisayas httpAddress,__label__2
rt usrId its now in gods httpAddress typhoon #hagupit makes landfall in philippines httpAddress #rubyph,__label__2
rt usrId DD areas under storm signals as #rubyph heads toward masbate httpAddress,__label__2
super typhoon hagupit heads to httpAddress disruption to travel and anticipated heavy httpAddress httpAddress #prayers #typhoon,__label__2
rt usrId stay safe lasallians ! take note of these emergency hotlines and stay updated httpAddress #rubyph httpAddress,__label__2
rt usrId pagasa signal no . 2 camarines sur burias httpAddress romblon capiz northern cebu httpAddress cebu city bantayan httpAddress camotes is . 1,__label__2
rt usrId my first manila poem lt ;3 thinking of all my friends in the httpAddress stay safe and take care xo #rubyph #prayforph httpAddress,__label__2
ptvph icymi l l official death toll from #rubyph rose to D httpAddress,__label__1
super typhoon hagupit 500 00 flee as storm approaches httpAddress,__label__2
rt usrId philippines braces for storm surges of up to DD feet and heavy rain from typhoon httpAddress httpAddress httpAddress,__label__2
callanmcauliffe i hope all you fruitloops in the philippines are preparing for typhoon #hagupit #rubyph stay safe !,__label__2
rt usrId tropical storm #rubyph expected to landfall at torrijos marinduque between 11am 12nn today usrId,__label__2
rt usrId stay alert and be httpAddress follow usrId usrId usrId usrId and usrId for httpAddress #rubyph #s,__label__2
rt usrId keep on praying httpAddress stay strong #rubyph,__label__2
we re not yet safe by the httpAddress keep httpAddress httpAddress #rubyph,__label__2
mt we stand with httpAddress usrId solidarity not just httpAddress climate justice httpAddress #cop20 typhoon #hagupit httpAddress,__label__2
rt usrId pagasa residents of ncr other parts of central amp ; southern luzon should brace for strong winds heavy rains on monday #rubyph,__label__2
as of 11pm today httpAddress total aid provided in areas hit by #rubyph #reliefph #rubyresponse via usrId,__label__2
typhoon #hagupit has triggered one of the largest peacetime evacuations in #philippines httpAddress via usrId httpAddress,__label__2
rt ocd landfall within D httpAddress power down in areas of samar albay sorsogon and httpAddress cell phone signal getting scratchy #rubyph,__label__2
relief in philippines as typhoon weakens D dead hundreds of thousands of filipinos returned on monday to httpAddress httpAddress,__label__1
philippines typhoon ruby damage pegged at 75 million business insurance httpAddress #typhoon,__label__1
typhoonyolanda made people heed early httpAddress now there s pre emptive evacuation in northernpalawan for httpAddress,__label__2
rt usrId typhoon hagupit ruby makes landfall in the philippines ; danger continues forecast usrId httpAddress,__label__2
rt usrId guide to pagasa s color coded rainfall advisories yellow orange red httpAddress #rubyph httpAddress,__label__2
rt usrId baby girl born in evacuation center named ruby httpAddress #rubyph,__label__2
rt usrId super #typhoon will impact DD million in the #philippines and could cause catastrophic damage httpAddress httpAddress,__label__2
rt usrId ecmwf tracks super typhoon #hagupit almost directly over areas ravaged by httpAddress other models farther north httpAddress,__label__2
rt usrId super typhoon #hagupit will graze n island of samar by 00z on dec D then manilla by early dec D as weaker storm httpAddress,__label__2
#typhoonhagupit slams into #philippines makes landfall in dolores via usrId god bless httpAddress httpAddress,__label__2
okay maybe the whole world will help the philippines again and these fucking douchebags will corrupt the funds again,__label__2
rt usrId god bless philippines f #rubyph httpAddress,__label__2
rt usrId at 8 15 am today orange rainfall advisory issued over northern cebu including camotes amp ; bantayan is . #rubyph httpAddress,__label__2
rt usrId thoughts amp ; prayers to all the people of the philippines who are dealing with the typhoon httpAddress we are all thinking of you,__label__2
at least DD dead after typhoon batters philippines typhoon hagupit weakened into a tropical storm .. httpAddress httpAddress,__label__1
#rubyph i hate you forever,__label__2
evacuations begin as hagupit now a super typhoon heads for philippines httpAddress,__label__2
rt usrId typhoon hagupit over half a million evacuated in the phillippines httpAddress,__label__2
rt usrId based on pagasa s latest track #hagupit #rubyph will lash the central philippines for D httpAddress httpAddress,__label__2
rt usrId infographic pagasas storm surge advisories #rubyph i via usrId httpAddress,__label__2
and this too shall httpAddress continually praying for everyone s safety ! #rubyph f,__label__2
rt usrId power httpAddress #rubyph leyte blackout,__label__1
rt usrId thousands without httpAddress an entire military httpAddress the latest on #hagupit aka #rubyph httpAddress http,__label__1
#iphone typhoon hagupit threatens flooding and landslide misery httpAddress,__label__2
please continue to pray for the httpAddress keep safe everyone f #rubyph #staysafeph,__label__2
aid group assesses damage in philippines from typhoon hagupit abc news httpAddress #typhoon,__label__1
its quite frustrating to read about typhoon hagupit especially when the philippines is still recovering from httpAddress why,__label__2
rt usrId ap typhoon #hagupit has hit the eastern #philippines where 650 00 people have fled to safety,__label__2
rt usrId here are some storm survival tips in preparation for #hagupit #rubyph be prepared usrId usrId usrId httpAddress,__label__2
rt usrId #hagupit based on preliminary indications main humanitarian needs expected to be food water access to healthcare amp ; emer,__label__2
rt usrId we re tracking typhoon #hagupit #rubyph as it barrels through the httpAddress follow usrId for httpAddress ht,__label__2
praying for safe return of missing trail runner arwin httpAddress httpAddress rescue teams now in tarak #bataan looking for httpAddress #hiking #philippines,__label__1
rt usrId if youre going to pray dont wish for the typhoon to hit another area like httpAddress parang walang tao doon kung maka wi,__label__2
rt usrId as #rubyph approaches pagasa amp ; jtwc adjust their storm track predictions are slowly httpAddress everyone httpAddress httpAddress,__label__2
beware the storm s fury next time the images of the typhoon zone in the philippines should be all the httpAddress httpAddress,__label__2
jo s milagrina tacloban preparing for the super typhoon #rubyph #hagupit httpAddress,__label__2
god will help us #rubyph,__label__2
rt usrId super typhoon #rubyph storm surge alert up httpAddress httpAddress,__label__2
rt usrId philippines may need to import 600 00 tonnes of rice after #typhoonhagupit httpAddress #cop20 httpAddress,__label__2
hundreds of thousands evacuated as typhoon nears philippines httpAddress #hanx,__label__2
rt usrId updated as of DD am saturday #rubyph was again downgraded from a super typhoon to a typhoon by the httpAddress httpAddress,__label__2
philippines typhoon downgraded but death toll rises to at least 22 typhoon hagupit weakened into a tropical .. httpAddress,__label__1
rt usrId in support of the #philippines retyphoon #hagupit #asean will facilitate assistance from member states as httpAddress httpAddress,__label__2
four killed as typhoon slams into philippines httpAddress,__label__1
please be safe and guided httpAddress #rubyph,__label__2
dilg sec roxas #rubyph is moving httpAddress it will hit land in dolores eastern samar DD pm saturday usrId,__label__2
rt usrId there is nothing bigger than our prayers cf #rubyph,__label__2
rt usrId good httpAddress keep safe everyone #rubyph,__label__2
what ever god does is not for us to httpAddress httpAddress to accept and believe that his way is always for the httpAddress #rubyph,__label__2
rt usrId the global usrId community is mapping the philippines to help prepare for #rubyph httpAddress join us httpAddress,__label__2
typhoon hagupit evacuation steps up httpAddress,__label__2
i pray that you all really strong typhoon httpAddress #rubyph #bagyongruby,__label__2
rt usrId praying for the phillipines as typhoon hagupit reaches the coast httpAddress #compassioninaction,__label__2
rt usrId emergency funds ready as #rubyph sweeps through ph ; affected areas to get priority #reliefph httpAddress httpAddress,__label__2
with #rubyph arriving while our team is in the philippines we need your support more than ever ! httpAddress #hagupit #hagupitph,__label__2
